store,offset,size,label,source
IntelSetup,0xED1,1,Gen3 Phase3 Mode,Platform
IntelSetup,0xF81,1,Ph3 TxEq Precursor,Platform
IntelSetup,0xFAD,1,Ph3 TxEq Cursor,Platform
IntelSetup,0xFD9,1,Ph3 TxEq Postcursor,Platform
IntelSetup,0xE79,1,Gen3 Linkup Flow,Platform
IntelSetup,0x1005,1,Gen3 Retrain Type,Platform
IntelSetup,0x1031,1,Gen3 DN Tx Preset,Platform
IntelSetup,0x105D,1,Gen3 DN Rx Preset Hint,Platform
IntelSetup,0x1089,1,Gen3 UP Tx Preset,Platform
IntelSetup,0xBC8,1,Hide Port?,Platform
IntelSetup,0x1714,1,Pcie Ecrc,Platform
IntelSetup,0x746,1,PCI-E Port,Platform
IntelSetup,0x410,1,Hot Plug Capable,Platform
IntelSetup,0xC62,1,Extra Bus Reserved,Platform
IntelSetup,0xCA3,2,Reserved Memory,Platform
IntelSetup,0xD6A,1,Reseved Memory Alignment,Platform
IntelSetup,0xCFB,2,Prefetchable Memory,Platform
IntelSetup,0xD96,1,Prefetchable Memory Alignment,Platform
IntelSetup,0xD3E,1,Reserved I/O,Platform
IntelSetup,0x562,1,PCI-E Port Link,Platform
IntelSetup,0x822,1,Link Speed,Platform
IntelSetup,0x1741,1,Override Max Link Width,Platform
IntelSetup,0x87A,1,PCI-E Port DeEmphasis,Platform
IntelSetup,0x5BA,1,PCI-E Port Clocking,Platform
IntelSetup,0x5E6,1,PCI-E Slot Clock Source,Platform
IntelSetup,0x612,1,PCI-E Port Max Payload Size,Platform
IntelSetup,0x63E,1,PCI-E Port D-state,Platform
IntelSetup,0x58E,1,PCI-E ASPM Support,Platform
IntelSetup,0x66A,1,PCI-E Port L0s Exit Latency,Platform
IntelSetup,0x696,1,PCI-E Port L1 Exit Latency,Platform
IntelSetup,0x6C2,1,MSI,Platform
IntelSetup,0x6EE,1,PCI-E Extended Sync,Platform
IntelSetup,0x84E,1,Compliance Mode,Platform
IntelSetup,0x8A6,1,EOI,Platform
IntelSetup,0x8D2,1,Fatal Err Over,Platform
IntelSetup,0x8FE,1,Non-Fatal Err Over,Platform
IntelSetup,0x92A,1,Corr Err Over,Platform
IntelSetup,0x956,1,ACPI PME Interrupt,Platform
IntelSetup,0x982,1,L0s Support,Platform
IntelSetup,0x9DA,1,P2P Memory Write,Platform
IntelSetup,0xA06,1,P2P Memory Read,Platform
IntelSetup,0xA74,1,PME to ACK,Platform
IntelSetup,0xAB6,1,HotPlug ACPI Mode,Platform
IntelSetup,0xAE2,1,PM ACPI Mode,Platform
IntelSetup,0xE22,1,Gen3 Eq Mode,Platform
IntelSetup,0xE4E,1,Gen3 Spec Mode,Platform
IntelSetup,0xEA6,1,Gen3 Phase2 Mode,Platform
IntelSetup,0xEFE,1,Ph2 TxEq Precursor,Platform
IntelSetup,0xF2A,1,Ph2 TxEq Cursor,Platform
IntelSetup,0xF56,1,Ph2 TxEq Postcursor,Platform
IntelSetup,0xED2,1,Gen3 Phase3 Mode,Platform
IntelSetup,0xF82,1,Ph3 TxEq Precursor,Platform
IntelSetup,0xFAE,1,Ph3 TxEq Cursor,Platform
IntelSetup,0xFDA,1,Ph3 TxEq Postcursor,Platform
IntelSetup,0xE7A,1,Gen3 Linkup Flow,Platform
IntelSetup,0x1006,1,Gen3 Retrain Type,Platform
IntelSetup,0x1032,1,Gen3 DN Tx Preset,Platform
IntelSetup,0x105E,1,Gen3 DN Rx Preset Hint,Platform
IntelSetup,0x108A,1,Gen3 UP Tx Preset,Platform
IntelSetup,0xBC9,1,Hide Port?,Platform
IntelSetup,0x1715,1,Pcie Ecrc,Platform
IntelSetup,0x747,1,PCI-E Port,Platform
IntelSetup,0x411,1,Hot Plug Capable,Platform
IntelSetup,0xC63,1,Extra Bus Reserved,Platform
IntelSetup,0xCA5,2,Reserved Memory,Platform
IntelSetup,0xD6B,1,Reseved Memory Alignment,Platform
